Email_Id,Email_Subject,Email_Description,Case_CaseType,Queue_Name,Case_Subject
2308D919-CF52-E611-80D8-FC15B4289B54,"Joint Sell Fee Calculation - Industrial Battery Products,  - Enrollment# 123456_OPP ID: 6-ABCD12KZ","     Hi CLT Team,    Could you please review the calculation tool to ensure enrollment# 48662939 which is currently tied to OPP ID: 6-KZ4AILR4X will calculate the Joint Sell fee and populate on the July interim statement?    Thank you,    Steven      ",Problem,<PI>,Billing
D19A911C-9252-E611-80DA-FC15B4284D68,Total Accrued Incentives,"  I am writing to see if you can let me know what the Total Accrued Incentives are for my account that have not yet been paid, and when they expect to be paid.  ID: 123456  Regards,  Jacob",Problem,NULL,Billing
AE24F966-E065-E611-80DC-FC15B4289B54,Change License Country Code - reg,"     Hi,    We want to change the license country code for our customer - ABC Inc. (12345)   The current country code is France and we want to change it to Australia (AU).    Kindly do the needful.   With regards,   Richard   Singapore   ",Problem,<MBS>,Billing
07BDC919-5A24-E611-80EC-C4346BAC6968,RE: 3-123456789 - RE: ABC  XYZ Token Billing - Electronic Arts -  2 CRM:000012340000456,"   Hello ,   Can you please help adjust the attached invoice? It should match the attached PO that was originally provided.    Thanks,  King       Hi Vance,  Apologies for the late response on this, but in order to create the desired end item and process the order, we need the Token Order Form that the publisher submitsin addition to the Purchase Order.   Thanks,  Zach   Please find the attached PO for qty. 40,000 tokens. Price approved by exception as part of negotiation. Expected delivery date is 1/25.   Let me know if you require any further information. ",Question,<PI>,Billing
52B1D1DA-5033-E611-80F2-C4346BAC62D0,URGENT:9548646 ABCsoft requesting a revised Invoice with correct Pricing,"     Hello Team,     Hope you are doing well.     I would like to seek an assistance with regard to customer�s request on revising the Invoice with correct pricing for invoice 123459875 at $2.75 instead of $5.00.    Attached herewith are the email communication for your reference.    Appreciate your help in advance.    Please let us know should you have any questions.     ",Question,<PI>,Billing
5CD3BEBA-3E75-E611-80DE-FC15B4289B54,Cannot Complete  Request Customer Change,"  Hello,   Base on Customer Request for Changing his Partner we try to Request for change but we face that message    This product line is not available for change of partner at this time. Please contact your Regional Operations Centre to complete the Change of Partner process.   Kindly your Support to solve this issue today cause His services plan due date at 11/09/2016 ",Question,<MBS>,Billing
207B0344-9237-E611-80F3-C4346BAC62D0,FW: MACS Server Error,"     Hello Team,    Can you please look in to the issue mentioned in below email trail. When we tries to search agreements on MACS they are getting below error message �Sorry, something went wrong�. And this error message is occurring intermittently, many times we succeeded to get the results by following the same steps. For more details please find attached Lync recording.    Thanks  Regard , Pooja. Some users have reported they are not receiving this error, while some have reported that this (or a similar) error has occurred, in some form, intermittently over the last month or so. If you find the root cause of the instability, please let me know if there is anything I can share with users to give them a more consistent experience (e.g. a certain update is needed).    Thanks for your help,   Justin         Hello Justin,    We are looking into this issue. Error message is occurring intermittently, many times we succeeded to get the results by following the same steps. We have escalated this issue to support team as this seems to be server issue. Will update you once we will get any feedback from support team.    Thanks  Regard   ",Question,<AdOps>,Billing
EFD2E0D7-B834-E611-80F3-C4346BAC39E4,Consolidate Credit Memos: Enpedia MAOs_321654,"   Hi Team,   Hope this email finds you well.   As requested by our customer, would you be so kind to consolidate the attached credit memos for the month of May?    team informed us to send this request to you due to large number of invoices.    I have attached here the email request for your reference.   Thank you and let me know if you have questions.  ",Question,<PI>,Billing
9EAA1FC4-6227-E611-80F1-C4346BAC39E4,"Token Order Submitted - Order Number:12348 Order Date:May 6, 2016 PST - please review","    A new token request has been submitted in the Entertainment Developer Store.    Please review the information below or click here to view order details.     Token Order Number: 12345    Token Order Date: May 6, 2016 PST    Publisher: Activision Blizzard International BV    Expedited Token Order: No     If you have any questions about this request, please contact help@xyz.com  Thank You,    Ling",Question,<PI>,Billing
1DD7057D-662F-E611-80F3-C4346BAC39E4,RE: Assistance Needed: ExtraMile_7945663,"   Hi Team,   Hope all is well.   Could you please assist us regarding our concern? Credits are already booked and applied to their October to December invoices but upon checking the revenue that should be booked to the right agency doesn�t populate here on our end.    Hope to hear your feedback soonest.  Regards,  Earl     Hi ART,   Hope this email finds you well.   This account already undergo credit and rebill process and credit already populates on the account for their October to December campaign but unfortunately there are no invoices that populate for the agency which they are under. Could you be so kind to assist us as the agency needs to have the invoices for their October to December Campaign.    Hope to hear your feedback regarding this matter.   Have a great day.    Regards,  Earl",Question,NULL,Billing
